"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,Microtraction,https://www.microtraction.com/,Nigeria,Lagos,"Healthcare, Fintech","Early Stage, Pre-Seed, Seed, Series A",2017,"Yele Bademosi, Chris Schultz",22,,"$100,000",,,yele@microtraction.com
,Middle Game Ventures,https://www.middlegamevc.com,"Luxembourg, USA, United Kingdom, Ireland","Washington, Luxembourg, Dublin, London","Fintech, Crypto & Blockchain, SaaS","Series B, Early Stage",2016,"Michael Meyer, Pascal Bouvier",22,0,,,"€300,000,000",hello@middlegamevc.com
,Milano Investment Partners,https://www.milanoinvestment.com/,Italy,Milan,"Deep Tech & Hard Science, Food & Beverage, Consumer, DTC","Early Stage, Seed, Series A, Late Stage",2017,"Angelo Moratti, Igor Pezzilli, Paolo Gualdani, Stefano Guidotti",19,,,,,info@milanoinvestment.com
,Miroma Ventures,https://miromaventures.com,"USA, United Kingdom","London, Los Angeles","Food & Beverage, E-Commerce, Social, Media, Consumer, DTC, Marketing","Seed, Series A, Series B",2010,Marc Boyan,23,5,"$250,000","$5,000,000",,info@miromaventures.com
,MMC Ventures,https://mmc.vc,United Kingdom,London,"Cloud, Enterprise, AI & ML, Consumer, Healthcare, Fintech","Seed, Series A",2000,Bruce Macfarlane,202,44,"£1,000,000","£7,000,000","£383,000,000",fundenquiries@mmc.vc
,Modus Capital,https://modus.vc,USA,New York,"Fintech, Healthcare, SaaS, AR & VR, Social","Early Stage, Seed, Series A, Late Stage",2016,Kareem Elsirafy,12,3,"$50,000","$1,000,000","$125,000,000",comms@modus.vc
,Mohr Daviddow Ventures,https://mdv.com,USA,San Mateo,"Big Data & Analytics, Internet & Mobile, Cloud, Social, Enterprise, Healthcare, Climate & Sustainability, Fintech","Early Stage, Seed, Series A, Late Stage",1983,"Bill Davidow, Lawrence G. Mohr Jr.",304,81,"$250,000","$1,000,000","$1,300,000,000",info@mdv.com
,Molten Ventures,https://moltenventures.com,"Ireland, United Kingdom","Dublin, London","Cloud, Enterprise, SaaS, AI & ML, Deep Tech & Hard Science, Hardware, Healthcare, Health & Wellness, Consumer",Series A,2006,Martin Davis,319,128,,,"$205,600,000",info@molten.vc
,Moment Ventures,https://momentventures.com,USA,Palo Alto,"Future of Work, Food & Beverage, Supply Chain & Logistics, Healthcare, Enterprise, Big Data & Analytics","Early Stage, Seed, Pre-Seed",2013,"Ammar Hanafi, Clint Chao",42,9,,,,funding@momentventures.com
,Monashees,https://monashees.com,Brazil,São Paulo,"AI & ML, E-Commerce, Enterprise, Education, Fintech, Food & Beverage, IoT, Healthcare, Supply Chain & Logistics, Marketplace, Internet & Mobile, Legal, Agriculture, Advertising","Series A, Series B, Series C",2005,"Eric Acher, Fabio Igel",104,26,"$500,000","$5,000,000","$280,000,000",contact@monashees.com.br
,Moneta Ventures,https://www.moneta.vc/,USA,"Folsom, Austin","Cloud, Healthcare, Internet & Mobile, Consumer, AI & ML, Biotech, Proptech & Real Estate, Automation, Enterprise, SaaS","Seed, Early Stage",2014,Lokesh Sikaria,53,7,"$1,000,000","$5,000,000","$300,000,000",
,Monk's Hill Ventures,https://monkshill.com,Singapore,Singapore,"Healthcare, Fintech, E-Commerce, Education, Social, Human Resources, Cybersecurity, Advertising, Robotics, Supply Chain & Logistics, Devops, Big Data & Analytics, Gaming, AI & ML","Early Stage, Series A",2014,"Kuo-Yi Lim, Peng Ong",72,8,"$1,000,000","$3,000,000","$80,000,000",info@monkshill.com
,Montage Ventures,https://montageventures.com,USA,Palo Alto,"E-Commerce, Marketplace, Healthcare, Consumer, DTC, Fintech","Seed, Series A, Pre-Seed",2013,Todd Kimmel,109,23,"$250,000","$1,000,000","$17,500,000",info@montageventures.com
,Monterro,https://www.monterro.com/,Sweden,Stockholm,"Enterprise, SaaS",Growth,1979,Peter Wolpert,35,10,,,"$700,000,000",monterro@monterro.com
,Moonfire,https://www.moonfire.com/,United Kingdom,London,"Crypto & Blockchain, AR & VR, AI & ML, Fintech, Gaming, Health & Wellness, Education, Future of Work","Early Stage, Seed, Pre-Seed",2019,Mattias Ljungman,36,,"$100,000","$1,500,000","$60,000,000",opportunities@moonfire.com
,Moonshots Capital,https://moonshotscapital.com,USA,"Austin, Los Angeles","Internet & Mobile, Fintech, Cybersecurity, Gaming, Transportation, Media","Seed, Early Stage",2017,"Kelly Perdew, Craig Cummings",129,33,"$750,000","$3,000,000","$36,000,000",kelly@moonshotscapital.com
,Morgenthaler Ventures,http://www.morgenthaler.com/,USA,"Boston, Boulder, Cleveland, San Francisco, Princeton","Consumer, Hardware, SaaS, Developer Tools, Devops, Cloud, Enterprise, AI & ML, Marketplace, Fintech, Healthcare","Seed, Early Stage",1968,David Morgenthaler,347,102,,,"$1,300,000,000",inquiries@morgenthaler.com
,Morningstar ventures,https://morningstar.ventures/,United Arab Emirates,Dubai,"Crypto & Blockchain, Gaming, Fintech",Early Stage,2020,"Danilo S. Carlucci, Arut Nazaryan",93,1,,,"$4,200,000",hello@morningstar.ventures
,Morpheus Ventures,https://morpheus.com,USA,Los Angeles,"Big Data & Analytics, AI & ML, Robotics, SaaS, Transportation, Proptech & Real Estate, Health & Wellness, Automation",Early Stage,2016,"Mark Dyne, Joseph Miller, Murray Markilles,",41,4,,,"$200,000,000",bluepill@morpheus.com
,Mount Morning Capital,https://www.chenshancapital.com/,China,Beijing,"Deep Tech & Hard Science, AI & ML, Big Data & Analytics, Cloud, IoT","Early Stage, Late Stage",2016,Jian Jiang,29,1,,,"$44,500,000",start@chenshancapital.com
,Mountain Nazca,https://nazca.vc/,"Mexico, USA","Mexico City, Coral Gables","Biotech, E-Commerce, Fintech, Food & Beverage, InsurTech, Supply Chain & Logistics, Proptech & Real Estate, Aerospace & Space, Big Data & Analytics, Education, Healthcare","Pre-Seed, Seed, Series A, Series B",2014,"Stiven Rodriguez, Mateo Jaramillo",33,,,,"$63,500,000",
,Movac,https://www.movac.co.nz/,New Zealand,Wellington,"E-Commerce, Enterprise, SaaS, Deep Tech & Hard Science, Healthcare, InsurTech, Aerospace & Space","Series A, Series B, Series C, Seed",1998,Phil Mccaw,35,11,,"$6,000,000","$250,000,000",fiona@movac.co.nz
,Movens Capital,https://movenscapital.com,Poland,Warsaw,"AI & ML, Fintech, SaaS, Marketplace, Industrial, Deep Tech & Hard Science, Consumer","Seed, Series A",2018,"Artur Banach, Michał Olszewski",24,2,"€250,000","€1,000,000","€12,700,000",contact@movenscapital.com
,MSA Capital,https://www.msacap.com/,"China, Singapore, Saudi Arabia, United Arab Emirates, Bahrain","Beijing, Shanghai, Singapore, Riyadh, Abu Dhabi, Manama","Health & Wellness, Consumer, Enterprise","Seed, Early Stage, Late Stage",2014,Jenny Zeng,76,13,,,"$837,000,000",info@msacap.com
,Mundi Ventures,https://mundiventures.com,Spain,"Madrid, Barcelona","InsurTech, Fintech, Deep Tech & Hard Science, Climate & Sustainability, Cybersecurity, Healthcare","Early Stage, Late Stage, Series A, Series B",2016,Rajeev Singh-Molares,87,8,"€5,000,000","€10,000,000","€250,000,000",contact@mundiventures.com
,Narra Ventures,https://narravc.com/,Philippines,Manila,"Consumer, Government Technology, SaaS, Semiconductors","Seed, Series A, Series B",2002,Paco Sandejas,9,,,,,+63 (2) 552-1175
,Naspers,https://naspers.com,South Africa,Cape Town,"Supply Chain & Logistics, Fintech, Travel & Hospitality, Education, Healthcare, Social, Internet & Mobile","Early Stage, Late Stage",1915,Attorney W. A. Hofmeyr,113,,,,"$125,000,000",communications@naspers.com
,Nation 1 VC,https://nation1.vc,Czechia,Prague,"Healthcare, Travel & Hospitality, SaaS, Hardware, AR & VR, DTC, Enterprise, Supply Chain & Logistics, Cloud","Seed, Pre-Seed",2019,"Marek Moravec, Martin Bodocky, Petra Koncelikova",22,2,"€100,000","€1,500,000","€35,000,000",info@nation1.vc
,Nauta Capital,https://nautacapital.com,Spain,Madrid,"Enterprise, SaaS, Deep Tech & Hard Science","Early Stage, Seed, Series A",2016,Jose Del Barrio,156,34,"$1,000,000","$3,000,000","$190,000,000",london@nautacapital.com
,Navegar,https://navegar.com.ph,Philippines,Makati City,"Healthcare, Food & Beverage, E-Commerce, Supply Chain & Logistics, Fintech","Late Stage, Growth",2012,Javier Infante,4,1,"$20,000,000","$30,000,000","$197,000,000",info@navegar.com.ph
,New Enterprise Associates,https://www.nea.com/,USA,"San Francisco, New York, Timonium","Enterprise, Consumer, Life Sciences, AI & ML, Education, Fintech","Seed, Early Stage, Growth",1977,"Chuck Newhall, Frank A. Bonsal, Jr., Richard Kramlich",2051,556,"$1,000,000","$10,000,000","$21,300,000,000",LPRelations@nea.com
,New Leaf Venture Partners,https://www.nlvpartners.com,USA,New York,"Life Sciences, Healthcare","Early Stage, Late Stage",2005,"Vijay Lathi, Ron Hunt",247,163,,,"$1,300,000,000",info@nlvpartners.com
,New Stack Ventures,https://newstack.com,USA,Chicago,"Enterprise, SaaS, Supply Chain & Logistics, Fintech, Proptech & Real Estate, Healthcare, E-Commerce","Pre-Seed, Seed",2015,Nick Moran,51,4,"$500,000","$1,500,000","$42,600,000",team@newstack.vc
,New York Life Ventures,https://www.nylventures.com/,USA,New York,"Health & Wellness, Enterprise, InsurTech, AI & ML, Cloud, Fintech, SaaS","Early Stage, Series A, Series B, Series C",2012,Joel Albarella,32,7,"$5,000,000",,"$200,000,000",info@nylventures.com
,Newion,https://newion.com,Netherlands,Amsterdam,"E-Commerce, SaaS, Enterprise, Big Data & Analytics","Early Stage, Seed, Series A",2000,Patrick Polak,38,17,"€1,000,000","€3,000,000","€150,000,000",info@newion.com
,Newtown Partners,https://newtownpartners.com,South Africa,Cape Town,"Supply Chain & Logistics, Fintech, IoT, AR & VR, Agriculture, AI & ML, Robotics","Seed, Series A, Early Stage",2009,Heather Lowe,19,3,,,"$2,300,000",info@newtownpartners.com
,NEXEA Venture Capital,https://www.nexea.co/,Malaysia,Kuala Lumpur,"Travel & Hospitality, Marketplace, E-Commerce, Education, Big Data & Analytics, IoT, Fintech, SaaS","Seed, Early Stage",2015,"Ben Lim, Noomi Fessler",35,1,"RM 50,000","RM 1,000,000",,analyst@nexea.co
,Next Coast Ventures,https://nextcoastventures.com,USA,Austin,"Health & Wellness, Marketplace, Future of Work, Consumer, Enterprise, DTC, SaaS",Early Stage,2015,Mike Smerklo. Thomas Ball,102,18,,,"$310,000,000",info@nextcoastventures.com
,Next Road Ventures,https://nextroad.vc,Poland,Warsaw,"SaaS, Marketplace, Fintech, Industrial, Big Data & Analytics","Seed, Series A",2019,Ewa Chronowska,16,,,"€1,000,000","€1,000,000",office@nextroad.vc
,Next World Capital,https://www.nextworldcap.com/,"USA, France, United Kingdom","San Francisco, Paris, London","Internet & Mobile, Developer Tools, SaaS, Deep Tech & Hard Science, Enterprise, Big Data & Analytics, IoT","Series B, Series C",2008,"Ben Fu, Craig Hanson",58,12,"$5,000,000","$10,000,000","$135,000,000",
,Next47,https://next47.com/,"USA, China, Germany, Israel, France, United Kingdom","Palo Alto, Paris, Lehi, Munich, London, Herẕliyya, Berlin, Beijing","AI & ML, Automation, Cybersecurity, IoT, Robotics, Transportation, AR & VR, Enterprise","Late Stage, Early Stage",2016,Lak Ananth,121,22,"$5,000,000","$35,000,000","$100,000,000",+1 (650)-587-4558
,NextGen Venture Partners,https://nextgenvp.com,USA,"Baltimore, Boston","E-Commerce, Fintech, Future of Work, Healthcare, Proptech & Real Estate","Early Stage, Late Stage",2012,Jon Bassett,121,26,"$1,000,000","$5,000,000","$63,700,000",info@nextgenvp.com
,Nexus Venture Capital,https://nexusvp.com/,"India, USA","Mumbai, Bangalore, San Francisco","Enterprise, Consumer, SaaS, Internet & Mobile, Healthcare, Media, Fintech, Devops, Education, Gaming, E-Commerce","Early Stage, Seed, Series A",2006,Sandeep Singhal,120,28,"$500,000","$10,000,000","$1,400,000,000",
,NFT Ventures,https://nftventures.com,Sweden,Stockholm,"Crypto & Blockchain, Fintech, E-Commerce, InsurTech, Proptech & Real Estate",Early Stage,2014,Pär Roosvall,73,19,,,,info@nftventures.com
,NFX,https://nfx.com,"USA, Israel","San Francisco, Herẕliyya, Palo Alto","Healthcare, Gaming, Proptech & Real Estate, Fintech, Marketplace, Crypto & Blockchain","Pre-Seed, Seed",2015,"Morgan Beller, Gigi Levy-Weiss",469,99,"$500,000","$4,000,000","$150,000,000",qed@nfx.com
,NGP Capital,https://ngpcap.com,"USA, China, India, Finland, Switzerland","Palo Alto, Helsinki, Geneva, Beijing","Cybersecurity, Cloud, AI & ML, Robotics, Supply Chain & Logistics, Manufacturing, SaaS","Late Stage, Growth",2005,"John Gardner, Paul Asel",203,76,"$8,000,000","$12,000,000","$1,400,000,000",team@ngpcap.com
,Night Ventures,https://nightventures.com,USA,Dallas,"Consumer, Fintech, SaaS, Crypto & Blockchain, Healthcare",Early Stage,2021,Reed Duchscher,29,1,,,"$20,000,000",
,Nina Capital,https://www.nina.capital/,Spain,Barcelona,"Healthcare, Deep Tech & Hard Science","Pre-Seed, Seed, Series A",2019,Marta-Gaia Zanchi,34,1,"€250,000","€500,000","€63,600,000",info@nina.capital
,NoBa Capital,https://www.nobacapital.com/,United Kingdom,London,"Future of Work, Enterprise, SaaS",Early Stage,2019,Kevin Fuller,15,4,"£1,500,000","£2,000,000","£3,000,000",info@nobacap.com
,Noetic Fund,https://noeticfund.com,Canada,Toronto,"Health & Wellness, Biotech, Healthcare","Series A, Seed",2020,"Sa'Ad Shah, Warren Wright",31,6,,,"$200,000,000",info@noeticfund.com
,Norfund,https://norfund.no,Norway,Oslo,"Climate & Sustainability, Fintech, Enterprise",Early Stage,1998,Tellef Thorleifsson,204,117,,,"$3,100,000,000",post@norfund.no
,Northzone,https://northzone.com,"USA, United Kingdom, Sweden","London, Stockholm, New York","Consumer, Crypto & Blockchain, Enterprise, Fintech, Gaming, Healthcare","Early Stage, Seed, Series A, Series B",1996,Bjorn Stray,305,106,"$1,000,000","$25,000,000","$1,500,000,000",
,Norwest Venture Partners,https://nvp.com,"USA, India, Israel","Palo Alto, San Francisco, Mumbai, Herẕliyya","Consumer, Enterprise, Healthcare, AI & ML, Biotech, DTC, E-Commerce, Education, Fintech, Food & Beverage, Marketplace, Media, SaaS, Proptech & Real Estate, Infrastructure","Late Stage, Early Stage, Growth",1961,"Jeff Crowe, Jon Kossow, Promod Haque, Sohil Chand",854,180,"$1,000,000","$25,000,000","$12,600,000,000",businessplan@nvp.com
,Noshaq,https://noshaq.be,Belgium,Liège,"DTC, E-Commerce, Supply Chain & Logistics, Fintech, Life Sciences, Food & Beverage, Gaming, Industrial, Media, Proptech & Real Estate, Transportation, Energy",Early Stage,1985,Gaëtan Servais,474,3,,,"€115,000,000",info@meusinvest.be
,Nostetta Ventures,https://nostettaventures.com,Finland,Kuopio,"Healthcare, Productivity, Climate & Sustainability, Food & Beverage, Biotech",Early Stage,2013,Heidi Ahonen,11,1,,"€10,000,000",,
,Notion Capital,https://notion.vc,United Kingdom,London,"SaaS, Cloud, Developer Tools, Devops, API, Deep Tech & Hard Science, AI & ML, Creator Economy, Fintech, InsurTech",Early Stage,2009,Stephen Chandler,193,33,"£2,000,000","£20,000,000","£275,000,000",info@notion.vc
,Novartis Venture Fund,https://www.nvfund.com/,Switzerland,Basel,"Life Sciences, Biotech",Seed,1996,Bart Dzikowski,324,163,,,"$720,000,000",info.nvf@nvfund.com
,Novastar Ventures Ltd,https://www.novastarventures.com/,"Kenya, Nigeria, United Kingdom","Nairobi, Lagos, London","Fintech, Supply Chain & Logistics, Healthcare, InsurTech, Education, SaaS",Early Stage,2014,"Steve Beck, Andrew Carruthers",20,1,"$200,000","$7,000,000","$200,000,000",info@novastarventures.com
,NXTP Ventures,https://nxtp.vc,Argentina,Buenos Aires,"Cloud, SaaS, E-Commerce, Fintech, Marketplace, AI & ML, Enterprise","Seed, Pre-Seed, Series A",2011,"Ariel Arrieta, Gonzalo Costa, Marta Cruz",255,25,"$500,000","$3,000,000","$98,500,000",info@nxtp.vc
,NZ Growth Capital Partners,https://www.nzgcp.co.nz/,New Zealand,"Auckland, Wellington","Deep Tech & Hard Science, SaaS, Agriculture, Healthcare","Early Stage, Seed, Series A, Series B",2002,Annabel Cotton,155,1,,,,info@nzgcp.co.nz
,Oak Investment Partners,https://oakvc.com,USA,"Norwalk, Stamford, San Francisco","Fintech, Healthcare, Internet & Mobile, Consumer, Climate & Sustainability","Early Stage, Late Stage, Series A",1978,Ed Glassmeyer,401,119,"$15,000,000","$100,000,000","$2,700,000,000",infoct@oakvc.com
,Oasis Capital,https://oasiscap.vc/,USA,Cambridge,"Marketplace, Deep Tech & Hard Science, Fintech, Aerospace & Space","Early Stage, Seed",2021,Ahmed Morad,5,,,,,admin@oasiscap.vc
,Oasis Capital,https://oasiscapitalghana.com/,Ghana,"Abidjan, Accra","Education, Travel & Hospitality, Proptech & Real Estate, Food & Beverage, Healthcare",Early Stage,2009,Matthew Boadu Adjei Adjei,19,1,"$500,000","$5,000,000",,info@oasiscapitalghana.com
,Obvious Venture,https://obvious.com/,USA,San Francisco,"Climate & Sustainability, AI & ML, Fintech, Education, Future of Work, Healthcare","Early Stage, Seed",2014,"Ev Williams, James Joaquin, Vishal Vasishth",158,34,,,"$461,000,000",info@obvious.com
,Ocean Azul Partners,https://oceanazulpartners.com,USA,Coral Gables,"Deep Tech & Hard Science, Enterprise, SaaS, Hardware","Early Stage, Seed, Series A",2017,"Bill Pruitt, Salo Sredni",41,3,"$200,000","$2,000,000","$40,000,000",
,Octopus Ventures,https://octopusventures.com,"United Kingdom, USA","New York, London","Healthcare, Fintech, Consumer, Enterprise, SaaS, Deep Tech & Hard Science","Seed, Series A, Series B",2007,Simon Rogerson,393,81,"£1,000,000","£10,000,000","£1,200,000,000",press@octopusgroup.com
,One Better Ventures,https://1bv.co,USA,Raleigh,"Health & Wellness, DTC, Consumer","Late Stage, Growth",2013,"John Replogle, Doug Haensel, Jim Geikie",17,2,,,"$5,100,000",info@1bv.co
,One Ventures,https://one-ventures.com.au,Australia,Sydney,"Healthcare, Enterprise, SaaS, Life Sciences, Fintech, Marketplace",Late Stage,2006,"Anne-Marie Birkill, Arthur Brennand, Bruno Yoshimura",54,3,"AU$10,000,000","AU$20,000,000","AU$645,000,000",entrepreneurs@one-ventures.com
,One Way Ventures,https://onewayvc.com,USA,"Boston, San Francisco","Supply Chain & Logistics, Transportation, Fintech, AI & ML, Future of Work, Robotics","Seed, Early Stage",2017,Semyon Dukach,77,5,"$500,000","$1,500,000","$85,500,000",info@onewayvc.com
,Open Circle Capital,https://opencirclecapital.lt,Lithuania,Vilnius,"Deep Tech & Hard Science, Robotics, AI & ML, Hardware, IoT, E-Commerce, Fintech, Healthcare, Life Sciences",Early Stage,2017,Audrius Milukas,16,2,"€100,000","€500,000",,"hello@opencirclecapital.lt,"
,Openspace Ventures,https://openspace.vc,"Singapore, Indonesia, Vietnam, Thailand, Philippines","Singapore, Jakarta, Ho Chi Minh City, Bangkok, Manila","Consumer, Health & Wellness, SaaS, Media, Education, Agriculture, Fintech","Early Stage, Series A, Series B",2014,"Hian Goh, Shane Chesson",79,5,"$15,000,000","$20,000,000","$425,000,000",ideas@openspace.vc
,OpenView Venture,https://openviewpartners.com/,USA,Boston,SaaS,Growth,2006,Scott Maxwell,146,46,,,"$450,000,000",info@openviewpartners.com
