Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
Invoke Labs,https://www.invokedigital.co/,Canada,Vancouver,Technology,"Dario Meli, David Tedman, Ryan Holmes",2012,1,
AIC NMIMS Incubation Centre,https://aic.nmims.edu/investor-connect-program/,India,Mumbai,Industry Agnostic,Sharad Mhaiskar,2017,1,
Capsula Smart Mobility,http://www.capsula.studio/,Israel,Tel Aviv,Mobility,,,1,1
Tinc,https://tinc.id/,Indonesia,Jakarta,"SaaS, HealthTech, EdTech, FinTech, AgTech, Ecommerce, Media, Industrial IoT, Smart City",,,1,
Thought into Action Entrepreneurship Institute at Colgate University,http://colgate.edu/distinctly-colgate/entrepreneurship,United States,Hamilton,Industry Agnostic,,2009,1,
Maruti Suzuki Mail powered by GHV Accelerator,https://www.marutisuzukimail.com/,India,Haryana,"Mobility, Automobile Innovation Lab",,2018,1,
BetOnIndia Technlogy,http://www.betonindia.in/,India,Bangalore,Technology,Chandru Bolaki,,1,
Eurekalabs,https://www.eurekalabs.io/,Argentina,Córdoba,"Ecommerce, SaaS","Damian Amaya, Guillermo De Bernardo, Jorge De Bernardo, Roque Peralta",,1,
Pineal Ventures,http://pineal.ventures,United States,Los Angeles,"Entertainment, Consumer Packaged Goods, HealthTech, EdTech",Neal Sarin,2019,1,
WE Impact,https://www.weimpact.tech/,Brazil,São Paulo,"Women, Software, Hardware, Technology",,2019,1,
EPICentre,https://www.epicentreuwindsor.ca/,Canada,Windsor,Industry Agnostic,,2014,1,
The eFactory,http://efactory.missouristate.edu/,United States,Springfield,Industry Agnostic,,,1,1
Foam Recycling Coalition,https://www.recyclefoam.org/,United States,Virginia,Foam Recycling,,2014,1,
Campus des Technologies de la Santé/CTS Healthcare,http://ctssante.com/en/,Canada,Quebec,HealthTech,,2008,1,
Apps.co,https://apps.co/,Colombia,Bogotá,"Mobile Applications, Software",,2012,1,
150 Startups,https://150startups.com/,Canada,Calgary,Industry Agnostic,Craig Elias,,1,
CURAD,https://curadincubator.org/,Uganda,Kampala,AgTech,,,1,
VentureWorx,http://www.ventureworx.com,United States,Charlotte,"Security, Software, FinTech",,1999,1,
Digital Arts Media Network,http://digitalartsmedianetwork.com/,United States,New York,Industry Agnostic,,,1,
Imprint Lab,http://www.imprintlab.com/,United States,Long Beach,"Health, Beuty, Consumer, Technology",Julia Huang,,1,
SCALA Partners,https://www.scala-partners.com/company/,Japan,Tokyo,"Social Impact, Sustainability",,,1,
Startupbootcamp Fintech Cairo,https://www.startupbootcamp.org/accelerator/fintech-cairo/,Egypt,Cairo,FinTech,"Alex Farcet, Carsten Kolbek, Patrick Zeeuw, Ruud Hendriks",2010,1,
The Fabric,http://www.thefabricnet.com,United States,Sunnyvale,"Cloud, IoT Infrastructure",,2012,1,
SEA Change,http://seachng.org/,United States,Cleveland,Social Impact,,2019,1,
Tie Silicon Valley,https://sv.tie.org/,United States,California City,"AI, Security, Blockchain, HealthTech, Cyber Security",,,1,
John Keells Group,https://keells.com/,Sri Lanka,Colombo,Industry Agnostic,,1870,1,
Pears Challenge,http://pearschallenge.com/,Israel,Tel Aviv,"Water, Food, Education, Health, Energy, Agriculture",,2008,1,
Gema Ventures,http://www.gemaventures.com,Brazil,São Paulo,B2B,Luisa Ribeiro,2014,1,
InNegev,https://innegev.com/,Israel,Rahat,"AgTech, Cleantech, FoodTech",,2020,1,
Lonca Girişimcilik Merkezi,http://www.loncagirisim.com/,Turkey,Istanbul,"Technology, IoT, Software",,,1,
Economic Development of the Longueuil Conurbation,https://www.delagglo.ca/fr,Canada,Boucherville,Technology,,2002,1,
Pmaestro,http://www.pmaestro.com,Egypt,Cairo,Technology,,2017,1,
FastForward U,https://ventures.jhu.edu/programs-services/fastforward-u/,United States,Baltimore,Industry Agnostic,,,1,
AltCity,http://www.altcity.me,Lebanon,Beirut,"Education, Health, Telecommunications, Sanitation, Food, Agriculture","David Munir Nabti, Dima Saber, Samer Azar",2010,1,
MassChallenge Texas,https://masschallenge.org/programs-texas,United States,Austin,Industry Agnostic,,,1,
Midwest Biomedical Accelerator Consortium,https://medicine.missouri.edu/offices-programs/midwest-biomedical-accelerator-consortium,United States,Columbia,"Biomedical, Bioengineering",,,1,
canow,http://canow-jp.com,Japan,Tokyo,Blockchain,,2020,1,
The Kaifa Group,http://thekaifagroup.com,Hong Kong,Hong Kong,"Information Technology, Hardware, Internet, Software",,,1,
Synesis Group,http://synesis-group.com/,Belarus,Minsk,"Media, Entertainment, Consumer","Alexander Shatrov, Denis Mishin, Nikolai Ptitsyn",2007,1,
One planetcrowd,http://www.oneplanetcrowd.com/,The Netherlands,Amsterdam,"Social, Sustainability","Coenraad de Vries, Laura Rooseboom, Maarten de Jong",2012,1,
German Accelerator,https://www.germanaccelerator.com/,Germany,Munich,Life Science,"Dietmar Harhoff, Dirk Kanngiesser, German Federal Ministry of Economic Affairs and Energy BMWi",2011,1,
Rainmaking,https://rainmaking.io/,Denmark,Copenhagen,"HealthTech, FinTech, InsurTech, Transport, Energy",Martin Bjergegaard,2006,1,
BiovelocITA,http://www.biovelocita.com/,Italy,Milan,"Biotech, Healthcare, Sustainability",Silvano Spinelli,2015,1,
Satgana,http://satgana.com/,Luxembourg,Luxembourg,Climate Tech,Romain Diaz,2020,1,
BackFund,https://www.backfund.vc,Spain,Madrid,Technology,Adrian Gorritxo,2021,1,
Dogpatch Labs,http://dogpatchlabs.com/,Ireland,Dublin,Industry Agnostic,"Michael Hirshland, Patrick Walsh",2009,1,
Digital Invest,https://www.digiinvest.com/,Estonia,Tallinn,Industry Agnostic,,2015,1,
Antenna Hungária Innovációs Kft.,https://www.ahabrainstore.hu/,Hungary,Budapest,"IoT, Drone Technology",,2017,1,1
University of Surrey,http://www.surrey.ac.uk,United Kingdom,Guildford,Industry Agnostic,,1966,1,
Founders Forum,https://ff.co/,United Kingdom,London,"DeepTech, AI, Life Science","Brent Hoberman, Jonathan Goodwin",2005,1,
PortXL,http://portxl.org/,The Netherlands,Rotterdam,Maritime Tech,,2015,1,
TechFounders,https://techfounders.com/,Germany,Munich,Industry Agnostic,Lorenz Hartung,2014,1,
GOB Incubation Partners,https://gob-ip.net/,Japan,Tokyo,Industry Agnostic,,,1,
weXelerate,https://wexelerate.com,Austria,Vienna,"Energy, Infrastructure, Industry 4.0, Media, Insurance, Banking, IoT, AI, Bots, Mobility, Blockchain, Cyber Security",,2016,1,
Neo Acelera,https://www.neoacelera.com.br/,Brazil,São Paulo,Healthcare,,,1,
Aluminium Valley Society,http://www.valuminium.ca,Canada,Alma,Aluminium,,2001,1,
PoliHub,http://www.polihub.it/en/,Italy,Milan,DeepTech,,2013,1,
The Birdhouse,http://www.gobirdhouse.com,Belgium,Gent,Industry Agnostic,Henri Jacobs,,1,
Lab Box,https://www.lab-box.com/,Belgium,Brussels,Mobility,,2017,1,
Startup Reykjavik,http://www.startupreykjavik.com,Iceland,Reykjavík,Industry Agnostic,,2012,1,
Tiger Accelerator,https://www.tigeraccelerator.com/,The Netherlands,Utrecht,Healthcare,,,1,
Clever Clover,http://www.cleverclover.vc,The Netherlands,Amsterdam,Consumer Goods,"Heinrich Prokop, Loes Voermans",2012,1,
Xpreneurs,http://xpreneurs.io/,Germany,München,"Aerospace, AgTech, FoodTech, AI, Biotech, Urban Tech, Clean Energy, Cyber Security, FinTech, HealthTech, Legal Tech, Mobility, Quantum, Robotics, SaaS, Impact",,2017,1,
Commercialization Reactor,http://www.commercializationreactor.com,Latvia,Riga,"Agriculture, Automotive, Data, AI, Environment, HealthTech, Industry 4.0, New Materials, Robotics, Space","Nikolai Adamovitch, Voldemars Bredikis",2009,1,
Axeltim,https://axeltim.com/,France,Lyon,Healthcare,,2013,1,
Hook,https://hook.vc,France,Paris,Industry Agnostic,"Kevin Primicerio, Sydney Cohen",2020,1,
High Flyers Capital,https://highflyerscapital.com/,France,Paris,Food,,,1,
ShakeUpFactory,http://www.shakeupfactory.co,France,Paris,FoodTech,"Kevin CAMPHUIS, Nicolas RAFFARD",2015,1,
SOYA CAPITAL,http://soya.vc/,France,Paris,"AI, Big Data, Robotics, New Energy, Agriculture",,2020,1,
Accelerator Frankfurt,http://www.acceleratorfrankfurt.com/,Germany,Frankfurt,"FinTech, Cyber Security, Digital B2B","Maria Pennanen, Ram Shoham",2016,1,1
digihub,https://digihub.de/,Germany,Düsseldorf,Technology,,2016,1,
Look Forward,http://lookforwardproject.com/,France,La Plaine-Saint-Denis,"Fashion, Beauty, Retail",Thierry Petit,2015,1,
Oxford Innovation,http://www.oxin-centres.co.uk/,United Kingdom,Oxford,Industry Agnostic,,,1,
Atrinum. | Ventures,http://www.atrinumventures.com,Switzerland,Zug,"Sustainability, FinTech, Health,",,2018,1,
Berlin Startup Academy,http://berlinstartupacademy.com,Germany,Berlin,"Technology, AI",,2012,1,1
Digital Incubation and Growth,https://www.inc-growth.com/,Germany,Dortmund,Technology,,,1,
TREA Ventures,https://www.trea.ch/,Switzerland,Zürich,Technology,,2017,1,
Ubisoft Entrepreneurs Lab,https://www.ubisoft.com/en-us/company/start-ups/station-f.aspx,France,Paris,"Gaming, Entertainment",,,1,
Greenpact,https://greenpact.fr/,France,Lyon,"Renewable Energy, Clean Mobility, Eco Construction, Sustainable Agriculture",,,1,
Edencia,http://edencia.com,France,Paris,"B2B, SaaS",Stéphane Paillard,2013,1,
Ajujaht,http://www.ajujaht.ee,Estonia,Tallinn,Industry Agnostic,,2006,1,
Entrepreneurial Spark,http://www.entrepreneurial-spark.com,United Kingdom,Glasgow,Information Technology,"Brian McGuire, Jim Duffy",2011,1,
350 PPM,https://350ppm.co.uk/,United Kingdom,London,"Environmental, Climate",,2015,1,
Falmouth Launchpad,https://www.falmouth.ac.uk/launchpad,United Kingdom,Truro,Industry Agnostic,,2014,1,
Life Science Inkubator,http://www.life-science-inkubator.de,Germany,Bonn,"Biotech, Pharmaceutical, Medical Technology",,,1,
Imagination Machine,https://imagination-machine.com/,France,Nantes,"Green Energy, Education, Female Health, Retail, Digital Platform, Delivery",,2017,1,
cKinetics Accelerator,https://www.ckinetics.com/innovation-capitals/#accelerator,India,New Delhi,"Sustainability, Energy Management, Alternative Transportation, Green Construction,",,,1,
Fisheye,http://agrandisseurfisheye.fr,France,Paris,"Culture, Image, Photography",,2017,1,
Eckert Life Science Accelerator,http://www.elsalifescience.com/,Germany,Berlin,"Biotech, Pharmaceutical, MedTech",Dr. Andreas Eckert,,1,1
xEdu,http://xedu.co/,Finland,Helsinki,EdTech,,2015,1,
Central Research Laboratory,http://www.centralresearchlaboratory.com,United Kingdom,Hayes,Hardware,James Nettleton,2015,1,
Abanca Innova,http://abancainnova.com,Spain,A Coruña,"FinTech, InsurTech, Regtech",,2017,1,
Building Global Innovators,https://www.bgi.pt,Portugal,Lisbon,DeepTech,Gonçalo Amorim,2010,1,
GoTech.vc,http://www.gotech.vc/,Russia,Saint Petersburg,Technology,Pavel Belov,,1,
ED2,https://ed2.tech,Russia,Moscow,"EdTech, HRtech",,,1,
Innonic Group,https://www.innonic.com/en,Hungary,Debrecen,Ecommerce,,,1,
Créalia,http://www.crealia.org/,France,Montpellier,Industry Agnostic,,,1,
CarStudio,https://car.studio/,France,Sainghin-En-Mélantois,Autotech,,2016,1,
Continuous Ventures,https://www.continuous.vc,Ireland,Dublin,"AI, FinTech, Envirotech",Colin Meagle,2018,1,
HR & ED-tech accelerator,https://hredtech.vc/,Russia,Moscow,"EdTech, HRtech",,,1,
Defiants,https://defiants.org/,Belgium,Antwerpen,Web3,,2018,1,
WFP Innovation Accelerator,http://innovation.wfp.org/,Germany,Munich,Food,,2016,1,
Small Foundation,https://smallfoundation.ie/,Ireland,Dublin,Industry Agnostic,,,1,
FFWD,http://ffwdlondon.com/,United Kingdom,London,Industry Agnostic,,2014,1,
Spherik Accelerator,http://spherikaccelerator.com,Romania,Cluj-Napoca,"Technology, Education",Gabriel DOMBRI,2013,1,
Hartnett Enterprise Acceleration Centre,http://www.hartnettcentre.ie/,Ireland,Limerick,"Consumer Goods, Information Communication Technology, Electronics, Medical Devices, Biotech, Pharma, Digital Media",,,1,1
Kjeller Innovation,http://www.kjellerinnovasjon.no/,Norway,Kjeller,"Energy Tech, Smart Society, Mobility, Spacetech, Bioeconomy",,,1,
Fábrica de Startups,http://www.fabricadestartups.com/,Portugal,Lisbon,"Public Sector, Energy, Sustainability, Tourism, Retail, Education, Banking, Healthcare, Mobility, Telecommunications",,2011,1,
Global Changemakers,https://www.global-changemakers.net/,Switzerland,Zürich,Industry Agnostic,,2007,1,1
FST Growth,https://www.fstinvest.com/,Denmark,Odense,"News, Media",,,1,
ICBA ThinkTECH Accelerator 2.0,https://www.venturecenter.co/icbathinktech,United States,Little Rock,FinTech,,,1,
Paca-Est Incubator,https://incubateurpca.org/,France,Sophia Antipolis,"Tourism, Space, DeepTech, Life Sciences, Social Human Sciences",,,1,
Hekovnik Startup School,http://hekovnik.com,Slovenia,Ljubljana,"E-Learning, Education",Tomaž Frelih,2009,1,
Tugboat,https://www.tugboat.ch/,Switzerland,Zürich,HighTech,"Rico Chandra, Stephan Habegger",,1,
Academpark,http://www.academpark.com/,Russia,Novosibirsk,"Information Technology, Science, Biotech, Biomedicine, Nanotech, New Materials",,,1,
StartItSmart,http://www.startitsmart.com/en,Bulgaria,Sofia,Industry Agnostic,,2009,1,
Fincite Ventures,https://www.fincite.ventures,Germany,Frankfurt,"Marketplacea, Financial Services, B2B",Ralf Ruben Heim,2016,1,
Scale Lab Andorra,https://scalelabandorra.com/,Spain,Andorra,Technology,,,1,
FAMM,https://famm-group.com/,France,Paris,"Agriculture, Food, AgTech, Art, Healthcare, VR, E-Sport",,,1,
Orbita Verticale,https://www.orbitaverticale.it/,Italy,Rome,Information Technology,,,1,
Venture Workshop,http://www.chuangyegongfang.cn/index,China,Dalian Shi,Industry Agnostic,,2011,1,
Shoppi Ventures,https://www.shoppi.ventures,Germany,Berlin,"Fashion, Hospitality, Mobility, Food","Maria Vacante, Massimo Rossi, Salvatore Vacante",2018,1,
FONGIT Innovation Fund,https://www.fongit.ch/financing,Switzerland,Geneva,"Electronics, Hardware, ICT, Life Sciences, Nanotechnology, Pharmaceutical, Sustainability, Ecommerce, Robotic Systems, Diagnostics, B2B Ecommerce, Energy, Cleantech, Medical Equipment, HealthTech, Biotech",,2021,1,
Starthub Wageningen,https://www.starthubwageningen.nl/,The Netherlands,Wageningen,"Agriculture, Food, Environment, Health, Life Sciences",,,1,
National Aerospace Technology Exploitation Programme,https://www.natep.org.uk/,United Kingdom,Farnborough,Aerospace Tech,,,1,
Rubik Hub,https://rubikhub.ro/,Romania,Piatra Neamt,"MedTech, Climate, FinTech, Impact",,2016,1,
Alfacamp,http://www.alfacamp.com/,Spain,Sevilla,Technology,,2013,1,
Startup Lighthouse,http://startuplighthouse.eu,Portugal,Lisbon,FinTech,,2018,1,
SOUL FI,http://soul-fi.ipn.pt/,Portugal,Lisbon,"Energy, Environment, Mobility, Quality Of Life, Resources, Tourism",,,1,
Unboxx,https://www.unboxx.se/,Sweden,Skellefteå,Industry Agnostic,,,1,
HATCH Aquaculture Accelerator,https://www.hatch.blue/,Norway,Bergen,"Marine Bioeconomy, Aquaculture, Alternative Seafood",,,1,
TrenLab,https://www.trenlab.com,Spain,Madrid,Mobility,,,1,
SG Capital Partenaires,http://www.sg-cp.com/,United Kingdom,London,"Warehousing, Logistics, IoT, Media, Gaming",,2009,1,
Fundación Repsol Accelerator,https://www.fundacionrepsol.com/es/fondo-emprendedores,Spain,Madrid,"Carbon Energy Tech, Energy Tech, Biotech",,,1,
Downing Enterprise,http://www.downingenterprise.co.uk,United Kingdom,Cambridge,Industry Agnostic,,2005,1,
Nowture,https://www.nowture.bio/,Spain,Madrid,"New Drugs, Medical Devices, Biotech, Synthetic Biology, Life Science Technologies",,2017,1,
InnoFounder – Graduate,http://Innofounder.dk,Denmark,Copenhagen,Industry Agnostic,,2017,1,
Greenhouse Cleantech Incubator,https://www.cleantechincubator.nl/,The Netherlands,Arnhem,Cleantech,,,1,
1Kubator,https://www.1kubator.com/,France,Lyon,"DeepTech, Digital Services, Hardware",Alexandre Fourtoy,2015,,
TECHFUND,http://techfund.jp/,Japan,Shibuya,"SaaS, AI, Blockchain, Web3","Kawahara Piisuke, Yuta Matsuyama",2014,,
Lean Rocket Lab,https://www.leanrocketlab.org/,United States,Jackson,"Manufacturing, Industrial Automation, Robotics, AI, Data Analytics, Cyber Security","Brandon Marken, Ken Seneff",2019,,
Kiuas,http://kiuas.com,Finland,Helsinki,Industry Agnostic,,2017,,
PULSE Montreuil,https://www.france.pulse-group.org/,France,Paris,Social Impact,,,,
Growth Train Accelerator,http://growth-train.dk/,Denmark,Nykøbing,"Food, AgTech",,,,
Startup Energy Reykjavik,http://www.startupenergyreykjavik.com/en,Iceland,Reykjavík,Energy,,2013,,
Open Accelerator,http://www.openaccelerator.it/,Italy,Bresso,Technology,,,,
SEE ICT,http://seeict.org/,Serbia,Belgrade,Technology,,2010,,
Rocket Seeder,http://www.rocketseeder.com,Australia,South Melbourne,"FoodTech, AgTech","Andrew Gregor, David Bray, Jeffrey Bourne, Matthew Pryor",2017,,
DT Mentoring Program,https://designterminal.org/mentoring-program/,Hungary,Budapest,"Sports, Healthcare",,,,
"Berkshire International Finance, Inc.",https://www.berkshire-inc.com/,Canada,Toronto,"Medical, Technology, Space",John Figliolini,1992,,
AgSprint,https://arrowheadcenter.org/program/agsprint/,United States,Las Cruces,"AgTech, Food Marketplace, Ecommerce, Bioenergy, Biomaterials, Agriculture Biotech",,,,
Colorado Springs Technology Incubator,https://catalystcampus.org/,United States,Colorado Springs,"Aerospace, Defense",,,,
Saiam,https://www.saiam.com.sg,Singapore,Singapore,Technology,,2014,,
Silicon Valley in Your Pocket,https://siliconvalleyinyourpocket.com/,United States,Oakland,Industry Agnostic,,2017,,
HacelaRodar,http://hacelarodar.org/,Argentina,Buenos Aires,"AI, Blockchain, Cyber Security, SaaS",,,,
NCI Idea,https://ncidea.org/,United States,Durham,"Information Technology, Medical Diagnostics, Devices, Material Sciences, Green Technology",,2012,,
